Activity ID,Contact ID,Account ID,Activity Date,Campaign Name,Channel,Activity Type,Asset Name,UTM Source,UTM Medium,UTM Campaign,Engagement Score Impact,Lead Stage at Time of Touch,Summary
e03eb201,5cc4725f,c9fc19d8,2025-03-09,2025 Demand Gen Webinar,Event,Registered Event,,event,organic,2025_demand_gen_webinar,5,Lead,Registered Event from campaign '2025 Demand Gen Webinar' via Event. Asset: .
0fce592b,5cc4725f,c9fc19d8,2025-03-30,AI for Marketers Guide,Webinar,Registered Webinar,,webinar,organic,ai_for_marketers_guide,10,SQL,Registered Webinar from campaign 'AI for Marketers Guide' via Webinar. Asset: .
5e6ab8cd,5cc4725f,c9fc19d8,2025-03-10,Gartner Report Promo,Paid Ad,Viewed Ad,Gartner Magic Quadrant,paid_ad,cpc,gartner_report_promo,6,MQL,Viewed Ad from campaign 'Gartner Report Promo' via Paid Ad. Asset: Gartner Magic Quadrant.
c5024c77,5cc4725f,c9fc19d8,2025-04-22,Spring Nurture Email Series,Organic Social,Viewed Organic Video,,organic_social,organic,spring_nurture_email_series,10,Lead,Viewed Organic Video from campaign 'Spring Nurture Email Series' via Organic Social. Asset: .
ff6ff0a2,5a3f754d,a2e45781,2025-03-14,Spring Nurture Email Series,Email,Opened Email,Blog: AI in RevOps,email,organic,spring_nurture_email_series,14,MQL,Opened Email from campaign 'Spring Nurture Email Series' via Email. Asset: Blog: AI in RevOps.
b08ef8dc,5a3f754d,a2e45781,2025-03-29,AI for Marketers Guide,Webinar,Attended Webinar,,webinar,organic,ai_for_marketers_guide,14,MQL,Attended Webinar from campaign 'AI for Marketers Guide' via Webinar. Asset: .
e72f332f,5a3f754d,a2e45781,2025-01-08,Spring Nurture Email Series,Event,Registered Event,,event,organic,spring_nurture_email_series,13,Lead,Registered Event from campaign 'Spring Nurture Email Series' via Event. Asset: .
83cf290f,5a3f754d,a2e45781,2025-01-14,LinkedIn Sponsored Post,Website,Visited Homepage,2025 Buying Guide,website,organic,linkedin_sponsored_post,15,Subscriber,Visited Homepage from campaign 'LinkedIn Sponsored Post' via Website. Asset: 2025 Buying Guide.
fba5d5bf,1757d190,e17b5956,2025-04-22,LinkedIn Sponsored Post,Website,Downloaded Guide,Gartner Magic Quadrant,website,organic,linkedin_sponsored_post,8,Lead,Downloaded Guide from campaign 'LinkedIn Sponsored Post' via Website. Asset: Gartner Magic Quadrant.
33204879,1757d190,e17b5956,2025-02-15,Tech Conference 2025,Webinar,Attended Webinar,,webinar,organic,tech_conference_2025,4,Lead,Attended Webinar from campaign 'Tech Conference 2025' via Webinar. Asset: .
21f541b1,93b3a242,414d05bb,2025-01-17,2025 Demand Gen Webinar,Paid Ad,Clicked Ad,Demo Video,paid_ad,cpc,2025_demand_gen_webinar,13,SQL,Clicked Ad from campaign '2025 Demand Gen Webinar' via Paid Ad. Asset: Demo Video.
2327e9b1,93b3a242,414d05bb,2025-04-07,AI for Marketers Guide,Website,Visited Homepage,ROI Calculator,website,organic,ai_for_marketers_guide,7,Lead,Visited Homepage from campaign 'AI for Marketers Guide' via Website. Asset: ROI Calculator.
2418a6dd,93b3a242,414d05bb,2025-01-26,Spring Nurture Email Series,Email,Clicked Email,Demo Video,email,organic,spring_nurture_email_series,7,MQL,Clicked Email from campaign 'Spring Nurture Email Series' via Email. Asset: Demo Video.
1ff19787,93b3a242,414d05bb,2025-04-20,LinkedIn Sponsored Post,Organic Social,Viewed Organic Video,,organic_social,organic,linkedin_sponsored_post,12,SQL,Viewed Organic Video from campaign 'LinkedIn Sponsored Post' via Organic Social. Asset: .
37033800,93b3a242,414d05bb,2025-03-16,AI for Marketers Guide,Organic Social,Viewed Organic Video,,organic_social,organic,ai_for_marketers_guide,10,Lead,Viewed Organic Video from campaign 'AI for Marketers Guide' via Organic Social. Asset: .
cc96695f,3a175426,52bb94b0,2025-02-08,LinkedIn Sponsored Post,Webinar,Attended Webinar,,webinar,organic,linkedin_sponsored_post,5,SQL,Attended Webinar from campaign 'LinkedIn Sponsored Post' via Webinar. Asset: .
cc9ac5bf,3a175426,52bb94b0,2025-02-20,Spring Nurture Email Series,Organic Social,Viewed Organic Video,,organic_social,organic,spring_nurture_email_series,11,MQL,Viewed Organic Video from campaign 'Spring Nurture Email Series' via Organic Social. Asset: .
265e5448,3a175426,52bb94b0,2025-03-13,2025 Demand Gen Webinar,Event,Registered Event,,event,organic,2025_demand_gen_webinar,4,MQL,Registered Event from campaign '2025 Demand Gen Webinar' via Event. Asset: .
cc391e42,bfbb0dde,e17b5956,2025-03-20,2025 Demand Gen Webinar,Webinar,Registered Webinar,,webinar,organic,2025_demand_gen_webinar,9,MQL,Registered Webinar from campaign '2025 Demand Gen Webinar' via Webinar. Asset: .
e06f25c3,22cd96ad,66ff51ff,2025-02-28,LinkedIn Sponsored Post,Event,Attended Event,,event,organic,linkedin_sponsored_post,12,MQL,Attended Event from campaign 'LinkedIn Sponsored Post' via Event. Asset: .
f5e3aaa2,22cd96ad,66ff51ff,2025-03-07,Gartner Report Promo,Email,Submitted Form,Blog: AI in RevOps,email,organic,gartner_report_promo,4,SQL,Submitted Form from campaign 'Gartner Report Promo' via Email. Asset: Blog: AI in RevOps.
dc9c08c9,22cd96ad,66ff51ff,2025-03-19,Gartner Report Promo,Email,Clicked Email,2025 Buying Guide,email,organic,gartner_report_promo,15,Lead,Clicked Email from campaign 'Gartner Report Promo' via Email. Asset: 2025 Buying Guide.
76fd211f,22cd96ad,66ff51ff,2025-02-23,Gartner Report Promo,Webinar,Registered Webinar,,webinar,organic,gartner_report_promo,6,Subscriber,Registered Webinar from campaign 'Gartner Report Promo' via Webinar. Asset: .
1acbc916,5650e829,d5bf26cf,2025-03-24,AI for Marketers Guide,Organic Social,Viewed Organic Video,,organic_social,organic,ai_for_marketers_guide,4,Subscriber,Viewed Organic Video from campaign 'AI for Marketers Guide' via Organic Social. Asset: .
b0426abe,5650e829,d5bf26cf,2025-03-21,Tech Conference 2025,Event,Attended Event,,event,organic,tech_conference_2025,15,MQL,Attended Event from campaign 'Tech Conference 2025' via Event. Asset: .
c5ffaf0f,5650e829,d5bf26cf,2025-01-06,2025 Demand Gen Webinar,Email,Submitted Form,Demo Video,email,organic,2025_demand_gen_webinar,6,Subscriber,Submitted Form from campaign '2025 Demand Gen Webinar' via Email. Asset: Demo Video.
9bd32079,5650e829,d5bf26cf,2025-04-13,AI for Marketers Guide,Event,Registered Event,,event,organic,ai_for_marketers_guide,11,Subscriber,Registered Event from campaign 'AI for Marketers Guide' via Event. Asset: .
d0acb667,5650e829,d5bf26cf,2025-03-03,LinkedIn Sponsored Post,Website,Downloaded Guide,2025 Buying Guide,website,organic,linkedin_sponsored_post,15,SQL,Downloaded Guide from campaign 'LinkedIn Sponsored Post' via Website. Asset: 2025 Buying Guide.
610e5f60,c3b35202,9335e808,2025-04-10,Spring Nurture Email Series,Email,Submitted Form,Gartner Magic Quadrant,email,organic,spring_nurture_email_series,9,SQL,Submitted Form from campaign 'Spring Nurture Email Series' via Email. Asset: Gartner Magic Quadrant.
f64156e9,c3b35202,9335e808,2025-03-21,Gartner Report Promo,Email,Submitted Form,ROI Calculator,email,organic,gartner_report_promo,9,MQL,Submitted Form from campaign 'Gartner Report Promo' via Email. Asset: ROI Calculator.
94ce42f3,c3b35202,9335e808,2025-03-27,2025 Demand Gen Webinar,Organic Social,Clicked LinkedIn Post,,organic_social,organic,2025_demand_gen_webinar,5,MQL,Clicked LinkedIn Post from campaign '2025 Demand Gen Webinar' via Organic Social. Asset: .
1f87abc6,3069d6fc,89f875b3,2025-01-23,AI for Marketers Guide,Organic Social,Viewed Organic Video,,organic_social,organic,ai_for_marketers_guide,3,MQL,Viewed Organic Video from campaign 'AI for Marketers Guide' via Organic Social. Asset: .
84da92ab,0825add3,1e95bd67,2025-04-14,2025 Demand Gen Webinar,Webinar,Registered Webinar,,webinar,organic,2025_demand_gen_webinar,13,Subscriber,Registered Webinar from campaign '2025 Demand Gen Webinar' via Webinar. Asset: .
e95fdb97,0825add3,1e95bd67,2025-03-10,Spring Nurture Email Series,Website,Visited Homepage,Demo Video,website,organic,spring_nurture_email_series,11,SQL,Visited Homepage from campaign 'Spring Nurture Email Series' via Website. Asset: Demo Video.
1286da08,a0c56ea6,ccf52f19,2025-02-06,LinkedIn Sponsored Post,Organic Social,Viewed Organic Video,,organic_social,organic,linkedin_sponsored_post,6,Subscriber,Viewed Organic Video from campaign 'LinkedIn Sponsored Post' via Organic Social. Asset: .
ff503fd8,a0c56ea6,ccf52f19,2025-02-07,Gartner Report Promo,Event,Attended Event,,event,organic,gartner_report_promo,15,Subscriber,Attended Event from campaign 'Gartner Report Promo' via Event. Asset: .
fde997df,a0c56ea6,ccf52f19,2025-03-24,Gartner Report Promo,Website,Visited Pricing Page,Demo Video,website,organic,gartner_report_promo,11,Subscriber,Visited Pricing Page from campaign 'Gartner Report Promo' via Website. Asset: Demo Video.
48682abb,a0c56ea6,ccf52f19,2025-03-18,Gartner Report Promo,Website,Visited Homepage,Blog: AI in RevOps,website,organic,gartner_report_promo,4,Lead,Visited Homepage from campaign 'Gartner Report Promo' via Website. Asset: Blog: AI in RevOps.
5.91E+70,a0c56ea6,ccf52f19,2025-03-10,LinkedIn Sponsored Post,Webinar,Registered Webinar,,webinar,organic,linkedin_sponsored_post,13,MQL,Registered Webinar from campaign 'LinkedIn Sponsored Post' via Webinar. Asset: .
e1e7f594,5a79c28a,ce08752d,2025-02-10,Spring Nurture Email Series,Email,Submitted Form,2025 Buying Guide,email,organic,spring_nurture_email_series,8,MQL,Submitted Form from campaign 'Spring Nurture Email Series' via Email. Asset: 2025 Buying Guide.
b5bf4d76,16905934,9090a1cc,2025-02-05,2025 Demand Gen Webinar,Organic Social,Viewed Organic Video,,organic_social,organic,2025_demand_gen_webinar,8,SQL,Viewed Organic Video from campaign '2025 Demand Gen Webinar' via Organic Social. Asset: .
fe72553a,16905934,9090a1cc,2025-03-13,AI for Marketers Guide,Email,Clicked Email,Blog: AI in RevOps,email,organic,ai_for_marketers_guide,4,SQL,Clicked Email from campaign 'AI for Marketers Guide' via Email. Asset: Blog: AI in RevOps.
cb025fc3,4135db91,5.70E+07,2025-02-06,Gartner Report Promo,Organic Social,Clicked LinkedIn Post,,organic_social,organic,gartner_report_promo,5,MQL,Clicked LinkedIn Post from campaign 'Gartner Report Promo' via Organic Social. Asset: .
b63c2d0d,4135db91,5.70E+07,2025-04-18,Spring Nurture Email Series,Webinar,Attended Webinar,,webinar,organic,spring_nurture_email_series,12,Subscriber,Attended Webinar from campaign 'Spring Nurture Email Series' via Webinar. Asset: .
88776b87,4135db91,5.70E+07,2025-03-06,AI for Marketers Guide,Event,Registered Event,,event,organic,ai_for_marketers_guide,5,Subscriber,Registered Event from campaign 'AI for Marketers Guide' via Event. Asset: .
b254a5d9,4135db91,5.70E+07,2025-01-18,Gartner Report Promo,Paid Ad,Clicked Ad,2025 Buying Guide,paid_ad,cpc,gartner_report_promo,6,Lead,Clicked Ad from campaign 'Gartner Report Promo' via Paid Ad. Asset: 2025 Buying Guide.
94f6e66e,4135db91,5.70E+07,2025-01-19,LinkedIn Sponsored Post,Website,Downloaded Guide,Blog: AI in RevOps,website,organic,linkedin_sponsored_post,13,SQL,Downloaded Guide from campaign 'LinkedIn Sponsored Post' via Website. Asset: Blog: AI in RevOps.
1fd6805a,b7d13df4,266f1336,2025-03-19,Spring Nurture Email Series,Organic Social,Viewed Organic Video,,organic_social,organic,spring_nurture_email_series,9,SQL,Viewed Organic Video from campaign 'Spring Nurture Email Series' via Organic Social. Asset: .
1b969c0c,b7d13df4,266f1336,2025-05-04,2025 Demand Gen Webinar,Event,Registered Event,,event,organic,2025_demand_gen_webinar,7,Subscriber,Registered Event from campaign '2025 Demand Gen Webinar' via Event. Asset: .
53478aee,fc21aca1,e2d78717,2025-05-04,Tech Conference 2025,Email,Submitted Form,Gartner Magic Quadrant,email,organic,tech_conference_2025,12,SQL,Submitted Form from campaign 'Tech Conference 2025' via Email. Asset: Gartner Magic Quadrant.
e27a8bd5,77b472ca,463cf4c1,2025-03-01,Gartner Report Promo,Webinar,Registered Webinar,,webinar,organic,gartner_report_promo,5,Lead,Registered Webinar from campaign 'Gartner Report Promo' via Webinar. Asset: .
855f5ac2,77b472ca,463cf4c1,2025-04-09,Tech Conference 2025,Webinar,Registered Webinar,,webinar,organic,tech_conference_2025,7,SQL,Registered Webinar from campaign 'Tech Conference 2025' via Webinar. Asset: .
27c761e6,77b472ca,463cf4c1,2025-04-24,Tech Conference 2025,Website,Visited Homepage,Blog: AI in RevOps,website,organic,tech_conference_2025,13,SQL,Visited Homepage from campaign 'Tech Conference 2025' via Website. Asset: Blog: AI in RevOps.
3ebbea18,c45e8f39,e2d3f376,2025-01-07,LinkedIn Sponsored Post,Website,Visited Pricing Page,Gartner Magic Quadrant,website,organic,linkedin_sponsored_post,5,Lead,Visited Pricing Page from campaign 'LinkedIn Sponsored Post' via Website. Asset: Gartner Magic Quadrant.
dd6f5009,c45e8f39,e2d3f376,2025-02-23,LinkedIn Sponsored Post,Event,Attended Event,,event,organic,linkedin_sponsored_post,12,Subscriber,Attended Event from campaign 'LinkedIn Sponsored Post' via Event. Asset: .
799fb0ce,c45e8f39,e2d3f376,2025-03-13,Tech Conference 2025,Organic Social,Clicked LinkedIn Post,,organic_social,organic,tech_conference_2025,9,Lead,Clicked LinkedIn Post from campaign 'Tech Conference 2025' via Organic Social. Asset: .
53e765e8,91324577,6.18E+14,2025-02-21,AI for Marketers Guide,Event,Registered Event,,event,organic,ai_for_marketers_guide,6,MQL,Registered Event from campaign 'AI for Marketers Guide' via Event. Asset: .
557ec149,91324577,6.18E+14,2025-03-13,Tech Conference 2025,Organic Social,Viewed Organic Video,,organic_social,organic,tech_conference_2025,8,MQL,Viewed Organic Video from campaign 'Tech Conference 2025' via Organic Social. Asset: .
fc8608c5,91324577,6.18E+14,2025-02-21,Tech Conference 2025,Website,Visited Homepage,Gartner Magic Quadrant,website,organic,tech_conference_2025,15,MQL,Visited Homepage from campaign 'Tech Conference 2025' via Website. Asset: Gartner Magic Quadrant.
1bcbca32,714ee7da,55248935,2025-02-18,Gartner Report Promo,Paid Ad,Clicked Ad,Demo Video,paid_ad,cpc,gartner_report_promo,6,MQL,Clicked Ad from campaign 'Gartner Report Promo' via Paid Ad. Asset: Demo Video.
f8339b92,714ee7da,55248935,2025-01-17,AI for Marketers Guide,Event,Attended Event,,event,organic,ai_for_marketers_guide,10,SQL,Attended Event from campaign 'AI for Marketers Guide' via Event. Asset: .
0ead40b3,b7d968a5,e2d3f376,2025-02-05,AI for Marketers Guide,Website,Downloaded Guide,ROI Calculator,website,organic,ai_for_marketers_guide,5,Lead,Downloaded Guide from campaign 'AI for Marketers Guide' via Website. Asset: ROI Calculator.
8f584714,b7d968a5,e2d3f376,2025-01-11,2025 Demand Gen Webinar,Event,Attended Event,,event,organic,2025_demand_gen_webinar,9,Subscriber,Attended Event from campaign '2025 Demand Gen Webinar' via Event. Asset: .
ba47df4a,a9cc6275,d36e7822,2025-02-09,Spring Nurture Email Series,Event,Registered Event,,event,organic,spring_nurture_email_series,9,Subscriber,Registered Event from campaign 'Spring Nurture Email Series' via Event. Asset: .
34ed0780,a9cc6275,d36e7822,2025-04-03,AI for Marketers Guide,Paid Ad,Clicked Ad,2025 Buying Guide,paid_ad,cpc,ai_for_marketers_guide,9,Subscriber,Clicked Ad from campaign 'AI for Marketers Guide' via Paid Ad. Asset: 2025 Buying Guide.
c30c3e71,a9cc6275,d36e7822,2025-03-14,Gartner Report Promo,Event,Attended Event,,event,organic,gartner_report_promo,12,Lead,Attended Event from campaign 'Gartner Report Promo' via Event. Asset: .
b462a18d,a9cc6275,d36e7822,2025-02-20,Gartner Report Promo,Paid Ad,Viewed Ad,Blog: AI in RevOps,paid_ad,cpc,gartner_report_promo,9,MQL,Viewed Ad from campaign 'Gartner Report Promo' via Paid Ad. Asset: Blog: AI in RevOps.
c7f1c567,a9cc6275,d36e7822,2025-01-06,Gartner Report Promo,Website,Visited Pricing Page,Blog: AI in RevOps,website,organic,gartner_report_promo,7,Lead,Visited Pricing Page from campaign 'Gartner Report Promo' via Website. Asset: Blog: AI in RevOps.
afaca9d0,871034b1,d5bf26cf,2025-03-24,AI for Marketers Guide,Paid Ad,Clicked Ad,ROI Calculator,paid_ad,cpc,ai_for_marketers_guide,6,SQL,Clicked Ad from campaign 'AI for Marketers Guide' via Paid Ad. Asset: ROI Calculator.
1768203,871034b1,d5bf26cf,2025-01-22,Gartner Report Promo,Event,Attended Event,,event,organic,gartner_report_promo,7,SQL,Attended Event from campaign 'Gartner Report Promo' via Event. Asset: .
70f3c62a,871034b1,d5bf26cf,2025-04-14,Tech Conference 2025,Webinar,Attended Webinar,,webinar,organic,tech_conference_2025,8,Lead,Attended Webinar from campaign 'Tech Conference 2025' via Webinar. Asset: .
2314e384,fac1744d,850cc279,2025-02-07,Spring Nurture Email Series,Paid Ad,Viewed Ad,Blog: AI in RevOps,paid_ad,cpc,spring_nurture_email_series,12,MQL,Viewed Ad from campaign 'Spring Nurture Email Series' via Paid Ad. Asset: Blog: AI in RevOps.
933f62b2,fac1744d,850cc279,2025-01-13,Tech Conference 2025,Event,Registered Event,,event,organic,tech_conference_2025,7,Subscriber,Registered Event from campaign 'Tech Conference 2025' via Event. Asset: .
54e90c9a,fac1744d,850cc279,2025-01-21,2025 Demand Gen Webinar,Organic Social,Viewed Organic Video,,organic_social,organic,2025_demand_gen_webinar,7,Lead,Viewed Organic Video from campaign '2025 Demand Gen Webinar' via Organic Social. Asset: .
87212062,fac1744d,850cc279,2025-05-02,AI for Marketers Guide,Webinar,Attended Webinar,,webinar,organic,ai_for_marketers_guide,4,Lead,Attended Webinar from campaign 'AI for Marketers Guide' via Webinar. Asset: .
f7f16f87,81c5cd5b,08663cd1,2025-01-24,Spring Nurture Email Series,Email,Opened Email,Demo Video,email,organic,spring_nurture_email_series,7,SQL,Opened Email from campaign 'Spring Nurture Email Series' via Email. Asset: Demo Video.
5601cb44,81c5cd5b,08663cd1,2025-04-20,AI for Marketers Guide,Organic Social,Viewed Organic Video,,organic_social,organic,ai_for_marketers_guide,11,Lead,Viewed Organic Video from campaign 'AI for Marketers Guide' via Organic Social. Asset: .
a88036ce,81c5cd5b,08663cd1,2025-04-14,AI for Marketers Guide,Website,Visited Homepage,Blog: AI in RevOps,website,organic,ai_for_marketers_guide,7,Lead,Visited Homepage from campaign 'AI for Marketers Guide' via Website. Asset: Blog: AI in RevOps.
6e9c821d,81c5cd5b,08663cd1,2025-01-27,Tech Conference 2025,Organic Social,Viewed Organic Video,,organic_social,organic,tech_conference_2025,10,MQL,Viewed Organic Video from campaign 'Tech Conference 2025' via Organic Social. Asset: .
63c9a712,e6f1e2be,1d0c7c85,2025-03-18,LinkedIn Sponsored Post,Event,Attended Event,,event,organic,linkedin_sponsored_post,14,MQL,Attended Event from campaign 'LinkedIn Sponsored Post' via Event. Asset: .
fc211d48,e6f1e2be,1d0c7c85,2025-04-15,Tech Conference 2025,Organic Social,Clicked LinkedIn Post,,organic_social,organic,tech_conference_2025,11,Subscriber,Clicked LinkedIn Post from campaign 'Tech Conference 2025' via Organic Social. Asset: .
551eba84,e6f1e2be,1d0c7c85,2025-02-07,Tech Conference 2025,Organic Social,Clicked LinkedIn Post,,organic_social,organic,tech_conference_2025,8,MQL,Clicked LinkedIn Post from campaign 'Tech Conference 2025' via Organic Social. Asset: .
74f3a30b,4553e433,e17b5956,2025-03-24,2025 Demand Gen Webinar,Email,Opened Email,Blog: AI in RevOps,email,organic,2025_demand_gen_webinar,11,Subscriber,Opened Email from campaign '2025 Demand Gen Webinar' via Email. Asset: Blog: AI in RevOps.
c58f0612,4553e433,e17b5956,2025-02-09,2025 Demand Gen Webinar,Organic Social,Viewed Organic Video,,organic_social,organic,2025_demand_gen_webinar,3,Lead,Viewed Organic Video from campaign '2025 Demand Gen Webinar' via Organic Social. Asset: .
f749ad8a,64436c5f,d4eb1654,2025-03-30,2025 Demand Gen Webinar,Event,Attended Event,,event,organic,2025_demand_gen_webinar,8,Lead,Attended Event from campaign '2025 Demand Gen Webinar' via Event. Asset: .
c334dd37,64436c5f,d4eb1654,2025-02-07,LinkedIn Sponsored Post,Email,Clicked Email,Blog: AI in RevOps,email,organic,linkedin_sponsored_post,7,Lead,Clicked Email from campaign 'LinkedIn Sponsored Post' via Email. Asset: Blog: AI in RevOps.
9d4fb6d5,64436c5f,d4eb1654,2025-03-15,2025 Demand Gen Webinar,Paid Ad,Viewed Ad,Demo Video,paid_ad,cpc,2025_demand_gen_webinar,14,Lead,Viewed Ad from campaign '2025 Demand Gen Webinar' via Paid Ad. Asset: Demo Video.
60f5be2c,9965e423,a4e0c0a8,2025-02-01,2025 Demand Gen Webinar,Webinar,Attended Webinar,,webinar,organic,2025_demand_gen_webinar,9,MQL,Attended Webinar from campaign '2025 Demand Gen Webinar' via Webinar. Asset: .
4cb7c65f,9965e423,a4e0c0a8,2025-02-06,LinkedIn Sponsored Post,Webinar,Registered Webinar,,webinar,organic,linkedin_sponsored_post,10,MQL,Registered Webinar from campaign 'LinkedIn Sponsored Post' via Webinar. Asset: .
ccad05b2,9965e423,a4e0c0a8,2025-02-25,Gartner Report Promo,Webinar,Attended Webinar,,webinar,organic,gartner_report_promo,6,MQL,Attended Webinar from campaign 'Gartner Report Promo' via Webinar. Asset: .
8ae742a9,9965e423,a4e0c0a8,2025-02-04,Gartner Report Promo,Webinar,Attended Webinar,,webinar,organic,gartner_report_promo,9,Lead,Attended Webinar from campaign 'Gartner Report Promo' via Webinar. Asset: .
507cce8a,9965e423,a4e0c0a8,2025-03-15,AI for Marketers Guide,Webinar,Registered Webinar,,webinar,organic,ai_for_marketers_guide,11,MQL,Registered Webinar from campaign 'AI for Marketers Guide' via Webinar. Asset: .
39dbd9f2,5087856e,2cef0b8d,2025-02-15,Spring Nurture Email Series,Webinar,Attended Webinar,,webinar,organic,spring_nurture_email_series,14,SQL,Attended Webinar from campaign 'Spring Nurture Email Series' via Webinar. Asset: .
1b6d7cbc,5087856e,2cef0b8d,2025-04-08,AI for Marketers Guide,Paid Ad,Clicked Ad,Gartner Magic Quadrant,paid_ad,cpc,ai_for_marketers_guide,10,SQL,Clicked Ad from campaign 'AI for Marketers Guide' via Paid Ad. Asset: Gartner Magic Quadrant.
f1d003a9,c0637668,21c1e518,2025-02-11,LinkedIn Sponsored Post,Paid Ad,Viewed Ad,ROI Calculator,paid_ad,cpc,linkedin_sponsored_post,11,SQL,Viewed Ad from campaign 'LinkedIn Sponsored Post' via Paid Ad. Asset: ROI Calculator.
edf06c22,c0637668,21c1e518,2025-01-07,LinkedIn Sponsored Post,Webinar,Registered Webinar,,webinar,organic,linkedin_sponsored_post,8,Subscriber,Registered Webinar from campaign 'LinkedIn Sponsored Post' via Webinar. Asset: .
17c8f037,c0637668,21c1e518,2025-01-13,AI for Marketers Guide,Webinar,Attended Webinar,,webinar,organic,ai_for_marketers_guide,13,SQL,Attended Webinar from campaign 'AI for Marketers Guide' via Webinar. Asset: .
a8c9cd35,c0637668,21c1e518,2025-01-07,AI for Marketers Guide,Email,Submitted Form,Gartner Magic Quadrant,email,organic,ai_for_marketers_guide,9,Subscriber,Submitted Form from campaign 'AI for Marketers Guide' via Email. Asset: Gartner Magic Quadrant.
e2653111,c0637668,21c1e518,2025-03-17,Gartner Report Promo,Organic Social,Viewed Organic Video,,organic_social,organic,gartner_report_promo,9,MQL,Viewed Organic Video from campaign 'Gartner Report Promo' via Organic Social. Asset: .
dcb415c1,fd2e040d,2f68c51a,2025-01-09,Spring Nurture Email Series,Email,Submitted Form,2025 Buying Guide,email,organic,spring_nurture_email_series,11,MQL,Submitted Form from campaign 'Spring Nurture Email Series' via Email. Asset: 2025 Buying Guide.
c310d422,fd2e040d,2f68c51a,2025-02-22,Gartner Report Promo,Paid Ad,Clicked Ad,ROI Calculator,paid_ad,cpc,gartner_report_promo,11,Lead,Clicked Ad from campaign 'Gartner Report Promo' via Paid Ad. Asset: ROI Calculator.
b172de10,d3165003,1f146396,2025-03-11,AI for Marketers Guide,Email,Opened Email,Gartner Magic Quadrant,email,organic,ai_for_marketers_guide,12,Lead,Opened Email from campaign 'AI for Marketers Guide' via Email. Asset: Gartner Magic Quadrant.
dcfe1eef,e699f190,c632e010,2025-03-03,Gartner Report Promo,Webinar,Registered Webinar,,webinar,organic,gartner_report_promo,10,Subscriber,Registered Webinar from campaign 'Gartner Report Promo' via Webinar. Asset: .
18e0d663,50b350ed,a139b76e,2025-03-19,AI for Marketers Guide,Website,Visited Pricing Page,ROI Calculator,website,organic,ai_for_marketers_guide,11,Lead,Visited Pricing Page from campaign 'AI for Marketers Guide' via Website. Asset: ROI Calculator.
9766264a,50b350ed,a139b76e,2025-02-13,Tech Conference 2025,Website,Visited Homepage,Blog: AI in RevOps,website,organic,tech_conference_2025,15,Lead,Visited Homepage from campaign 'Tech Conference 2025' via Website. Asset: Blog: AI in RevOps.
b4ef4a31,50b350ed,a139b76e,2025-03-12,AI for Marketers Guide,Email,Opened Email,ROI Calculator,email,organic,ai_for_marketers_guide,7,Lead,Opened Email from campaign 'AI for Marketers Guide' via Email. Asset: ROI Calculator.
63827f4f,65ba4a24,c9816db8,2025-01-07,AI for Marketers Guide,Event,Registered Event,,event,organic,ai_for_marketers_guide,6,SQL,Registered Event from campaign 'AI for Marketers Guide' via Event. Asset: .
4193ff87,65ba4a24,c9816db8,2025-04-10,LinkedIn Sponsored Post,Event,Attended Event,,event,organic,linkedin_sponsored_post,12,Subscriber,Attended Event from campaign 'LinkedIn Sponsored Post' via Event. Asset: .
4d1ce451,65ba4a24,c9816db8,2025-02-15,Gartner Report Promo,Paid Ad,Viewed Ad,Blog: AI in RevOps,paid_ad,cpc,gartner_report_promo,15,SQL,Viewed Ad from campaign 'Gartner Report Promo' via Paid Ad. Asset: Blog: AI in RevOps.
6022824b,5154f952,08663cd1,2025-03-02,Tech Conference 2025,Organic Social,Viewed Organic Video,,organic_social,organic,tech_conference_2025,5,Subscriber,Viewed Organic Video from campaign 'Tech Conference 2025' via Organic Social. Asset: .
2a696aca,5154f952,08663cd1,2025-05-03,LinkedIn Sponsored Post,Paid Ad,Viewed Ad,2025 Buying Guide,paid_ad,cpc,linkedin_sponsored_post,8,SQL,Viewed Ad from campaign 'LinkedIn Sponsored Post' via Paid Ad. Asset: 2025 Buying Guide.
9b713e2b,5154f952,08663cd1,2025-04-03,Spring Nurture Email Series,Organic Social,Clicked LinkedIn Post,,organic_social,organic,spring_nurture_email_series,9,SQL,Clicked LinkedIn Post from campaign 'Spring Nurture Email Series' via Organic Social. Asset: .
1.31E+13,70780c0a,266f1336,2025-03-09,2025 Demand Gen Webinar,Webinar,Registered Webinar,,webinar,organic,2025_demand_gen_webinar,3,SQL,Registered Webinar from campaign '2025 Demand Gen Webinar' via Webinar. Asset: .
7d1f496c,70780c0a,266f1336,2025-01-30,LinkedIn Sponsored Post,Webinar,Registered Webinar,,webinar,organic,linkedin_sponsored_post,14,MQL,Registered Webinar from campaign 'LinkedIn Sponsored Post' via Webinar. Asset: .
601bb6d9,c26c93b7,f063249c,2025-01-25,Spring Nurture Email Series,Email,Opened Email,Demo Video,email,organic,spring_nurture_email_series,10,MQL,Opened Email from campaign 'Spring Nurture Email Series' via Email. Asset: Demo Video.
2288784d,c26c93b7,f063249c,2025-02-14,Gartner Report Promo,Event,Registered Event,,event,organic,gartner_report_promo,12,SQL,Registered Event from campaign 'Gartner Report Promo' via Event. Asset: .
